gen-25th,gen-50th,gen-75th,enc-25th,enc-50th,enc-75th,dec-25th,dec-50th,dec-75th,sk ,pk,ct,sesk,System
22741200,22747446,22758534,1474704,1476378,1481319,26810037,26815149,26820810,5223,1541,1573,32,bikel1
71823060,71851527,71870463,4406823,4413249,4420035,83044386,83060406,83078694,10105,3083,3115,32,bikel3
1232100,1249884,1271934,162504,164826,165933,15411798,22508127,42256728,32,776,1312,32,edonk128k16n80nu4l6
2105955,2112912,2124855,290115,292311,293580,12051594,16027074,59528358,32,1552,1312,32,edonk128k16n80nu8l6
2421936,2452905,2492532,314622,315945,317223,1859292,1898793,2729313,32,1680,1568,32,edonk128k32n96nu4l4
3099753,3109221,3126501,486648,487872,489951,8002521,15799365,31491378,32,2576,2336,32,edonk128ref
3073248,3242709,3395655,544221,546030,547803,13479399,80783478,101349054,32,2256,3120,48,edonk192k32n128nu4l6
4539006,4576446,4617693,802935,806436,809928,3440736,3461256,4844034,32,3672,3504,48,edonk192k48n144nu4l4
367587,367974,368361,496422,497619,499401,142794,143784,144738,1824,1824,2012,32,hila5
6015483,6047289,6080157,834084,841275,850761,2766267,2777094,2788065,40,423,423,64,lake1
7176780,7249203,7260660,928503,930852,935145,4492998,4502079,4517460,40,636,636,64,lake2
6458697,6534972,6556698,993582,998370,1005192,5690340,5702490,5720643,40,826,826,64,lake3
44462610,44491959,44636022,250335,254583,260172,3217824,3225087,3230667,1160,1368,1392,32,ledakemcpa12
23354775,23365179,23378922,209601,210069,210942,3027492,3040263,3973284,1920,2064,1056,32,ledakemcpa13
19513566,19524618,19534455,198126,198567,199377,3750264,3753153,3763332,2680,2712,928,32,ledakemcpa14
132950475,132976467,133001190,584901,596520,607410,8753670,8781912,8785683,1680,2632,2664,48,ledakemcpa32
72260892,72280476,72300942,496161,497295,498645,10797192,10804248,10818513,2840,3856,1960,48,ledakemcpa33
65714643,65729232,65746026,442962,443916,445077,12744216,12750813,12761604,3968,4920,1672,48,ledakemcpa34
252934425,252981423,253029852,1154997,1172880,1192419,21781638,21797667,21831426,2232,4424,4464,64,ledakemcpa52
157650003,157681278,157710051,1075032,1076994,1081494,25707735,25713423,25735734,3760,6416,3248,64,ledakemcpa53
168793128,168826599,168913458,1042677,1045116,1047915,30396348,30401262,30409353,5256,8112,2744,64,ledakemcpa54
14151699,14160366,14169024,10624617,10627974,10636290,565983,572472,572931,16,5214,5236,16,r5n11kem0d
34988193,34992774,34999119,26083701,26091099,26095410,904311,904365,904509,24,8834,8866,24,r5n13kem0d
70283277,70296831,70307181,50841990,50855022,50864985,2511576,2522763,2535822,32,14264,14288,32,r5n15kem0d
168282,170127,171981,273708,275598,278217,136611,162288,198072,16,342,394,16,r5nd0kem2iot
151308,160668,171990,244575,251280,274923,106902,107541,110781,16,634,682,16,r5nd1kem0d
192222,196065,223164,321444,333423,338760,151695,152802,155340,24,453,563,24,r5nd1kem4longkey
186453,189342,191142,305676,308637,311661,147411,148662,175140,16,445,549,16,r5nd1kem5d
626058,635283,711657,1270989,1292229,1306395,622611,629046,661941,24,909,981,24,r5nd3kem0d
386037,391185,411507,614745,705717,716733,258957,262647,264123,24,780,859,24,r5nd3kem5d
849195,856800,862461,1755360,1783467,1856790,853488,902799,1019691,32,1178,1274,32,r5nd5kem0d
773649,781146,880191,1208034,1301013,1418760,522360,522675,558882,32,972,1063,32,r5nd5kem5d
5093163,5100777,5107842,578961,580626,583434,1808721,1816083,1835712,40,696,696,64,rolloi128
6585867,6593814,6599403,674406,679509,683172,2076552,2084481,2088333,40,958,958,64,rolloi192
9065646,9076662,9086022,786348,788445,790092,3064635,3076281,3103263,40,1371,1371,64,rolloi256
376839,378135,378522,441189,441612,441873,100638,100710,100890,40,1584,1697,32,threebears1248r2cpa
383814,384282,384903,441621,441828,442071,61596,61686,61740,1584,1584,1697,32,threebears1248r2cpax
117765,117963,118188,158319,158571,159057,58932,59049,59202,40,804,917,32,threebears624r2cpa
120483,120564,120717,157923,158031,158301,37737,37791,37854,804,804,917,32,threebears624r2cpax
229536,229878,231489,282168,282366,282834,80379,80433,80541,40,1194,1307,32,threebears936r2cpa
235071,235404,235728,283050,283167,283401,49905,49914,49968,1194,1194,1307,32,threebears936r2cpax
514899,515637,1642761,690363,700533,991881,968688,1004895,1178676,3040,1312,1472,32,firesaber2
87880086,87901605,88066665,92262780,92341170,92458512,92459511,92504988,92521827,43088,21520,21632,32,frodokem1344aes
55643031,55654227,55712925,60566697,60577227,60597693,60623469,60630192,60643368,43088,21520,21632,32,frodokem1344shake
20162043,20173302,20187585,21663792,21673278,21695058,21612141,21669264,21706848,19872,9616,9736,16,frodokem640
20544651,20558223,20565045,21911238,21984660,22005000,21752325,21761271,21824577,19888,9616,9720,16,frodokem640aes
14064183,14071572,14077512,15498540,15502707,15510798,15345612,15351732,15356637,19888,9616,9720,16,frodokem640shake
46427130,46560771,46608732,49438359,49459923,49498677,49790871,49812678,49834386,31272,15632,15768,24,frodokem976
47061675,47097612,47120346,49715523,49881942,51262740,49871835,49972536,49981176,31296,15632,15744,24,frodokem976aes
